category,xAxis,yAxis,value,trend,target,color,ID
Alpha,Atlantic,Metric 1,15,null,null,#a8c1e5
Alpha,Optimize scheduling and ops,Metric 1,154,null,null,#6691d2
Alpha,Northeast,Metric 1,7,null,null,#d3e0f2
Alpha,South,Metric 1,169,null,null,#6691d2
Alpha,West,Metric 1,69,null,null,#6691d2
Alpha,Atlantic,Metric 2,165,null,null,#a8c1e5
Alpha,Optimize scheduling and ops,Metric 2,11,null,null,#a8c1e5
Alpha,Northeast,Metric 2,32,null,null,#2563bf
Alpha,South,Metric 2,133,null,null,#6691d2
Alpha,West,Metric 2,49,null,null,#2563bf
Alpha,Atlantic,Metric 3,44,null,null,#6691d2
Alpha,Optimize scheduling and ops,Metric 3,55,null,null,#d3e0f2
Alpha,Northeast,Metric 3,66,null,null,#d3e0f2
Alpha,South,Metric 3,77,null,null,#6691d2
Alpha,West,Metric 3,50,null,null,#a8c1e5
Alpha,Atlantic,Metric 4,40,null,null,#d3e0f2
Alpha,Optimize scheduling and ops,Metric 4,117,null,null,#a8c1e5
Alpha,Northeast,Metric 4,4,null,null,#6691d2
Alpha,South,Metric 4,176,null,null,#a8c1e5
Alpha,West,Metric 4,31,null,null,#2563bf
Alpha,Atlantic,Metric 5,132,null,null,#2563bf
Alpha,Optimize scheduling and ops,Metric 5,86,null,null,#2563bf
Alpha,Northeast,Metric 5,184,null,null,#a8c1e5
Alpha,South,Metric 5,181,null,null,#d3e0f2
Alpha,West,Metric 5,197,null,null,#d3e0f2
Beta,Atlantic,Metric 1,179,null,null,#d3e0f2
Beta,Optimize scheduling and ops,Metric 1,30,null,null,#d3e0f2
Beta,Northeast,Metric 1,105,null,null,#2563bf
Beta,South,Metric 1,21,null,null,#d3e0f2
Beta,West,Metric 1,190,null,null,#d3e0f2
Beta,Atlantic,Metric 2,113,null,null,#6691d2
Beta,Optimize scheduling and ops,Metric 2,33,null,null,#6691d2
Beta,Northeast,Metric 2,0,null,null,#d3e0f2
Beta,South,Metric 2,3,null,null,#6691d2
Beta,West,Metric 2,179,null,null,#d3e0f2
Beta,Atlantic,Metric 3,39,null,null,#a8c1e5
Beta,Optimize scheduling and ops,Metric 3,85,null,null,#6691d2
Beta,Northeast,Metric 3,105,null,null,#6691d2
Beta,South,Metric 3,120,null,null,#2563bf
Beta,West,Metric 3,120,null,null,#d3e0f2
Beta,Atlantic,Metric 4,27,null,null,#2563bf
Beta,Optimize scheduling and ops,Metric 4,151,null,null,#a8c1e5
Beta,Northeast,Metric 4,3,null,null,#a8c1e5
Beta,South,Metric 4,161,null,null,#a8c1e5
Beta,West,Metric 4,94,null,null,#a8c1e5
Beta,Atlantic,Metric 5,168,null,null,#2563bf
Beta,Optimize scheduling and ops,Metric 5,2,null,null,#2563bf
Beta,Northeast,Metric 5,112,null,null,#6691d2
Beta,South,Metric 5,132,null,null,#2563bf
Beta,West,Metric 5,57,null,null,#a8c1e5
Gama,Atlantic,Metric 1,28,null,null,#2563bf
Gama,Optimize scheduling and ops,Metric 1,6,null,null,#2563bf
Gama,Northeast,Metric 1,75,null,null,#2563bf
Gama,South,Metric 1,16,null,null,#2563bf
Gama,West,Metric 1,186,null,null,#d3e0f2
Gama,Atlantic,Metric 2,181,null,null,#d3e0f2
Gama,Optimize scheduling and ops,Metric 2,117,null,null,#2563bf
Gama,Northeast,Metric 2,31,null,null,#a8c1e5
Gama,South,Metric 2,18,null,null,#d3e0f2
Gama,West,Metric 2,159,null,null,#6691d2
Gama,Atlantic,Metric 3,81,null,null,#d3e0f2
Gama,Optimize scheduling and ops,Metric 3,112,null,null,#6691d2
Gama,Northeast,Metric 3,33,null,null,#6691d2
Gama,South,Metric 3,81,null,null,#d3e0f2
Gama,West,Metric 3,29,null,null,#a8c1e5
Gama,Atlantic,Metric 4,186,null,null,#a8c1e5
Gama,Optimize scheduling and ops,Metric 4,148,null,null,#6691d2
Gama,Northeast,Metric 4,24,null,null,#2563bf
Gama,South,Metric 4,61,null,null,#2563bf
Gama,West,Metric 4,74,null,null,#a8c1e5
Gama,Atlantic,Metric 5,118,null,null,#a8c1e5
Gama,Optimize scheduling and ops,Metric 5,56,null,null,#d3e0f2
Gama,Northeast,Metric 5,133,null,null,#6691d2
Gama,South,Metric 5,18,null,null,#2563bf
Gama,West,Metric 5,183,null,null,#d3e0f2
Omega,Atlantic,Metric 1,123,null,null,#d3e0f2
Omega,Optimize scheduling and ops,Metric 1,36,null,null,#6691d2
Omega,Northeast,Metric 1,152,null,null,#a8c1e5
Omega,South,Metric 1,80,null,null,#a8c1e5
Omega,West,Metric 1,73,null,null,#6691d2
Omega,Atlantic,Metric 2,0,null,null,#6691d2
Omega,Optimize scheduling and ops,Metric 2,50,null,null,#a8c1e5
Omega,Northeast,Metric 2,171,null,null,#a8c1e5
Omega,South,Metric 2,197,null,null,#d3e0f2
Omega,West,Metric 2,104,null,null,#6691d2
Omega,Atlantic,Metric 3,142,null,null,#6691d2
Omega,Optimize scheduling and ops,Metric 3,60,null,null,#6691d2
Omega,Northeast,Metric 3,112,null,null,#2563bf
Omega,South,Metric 3,151,null,null,#a8c1e5
Omega,West,Metric 3,181,null,null,#a8c1e5
Omega,Atlantic,Metric 4,77,null,null,#6691d2
Omega,Optimize scheduling and ops,Metric 4,12,null,null,#6691d2
Omega,Northeast,Metric 4,136,null,null,#2563bf
Omega,South,Metric 4,104,null,null,#a8c1e5
Omega,West,Metric 4,118,null,null,#2563bf
Omega,Atlantic,Metric 5,89,null,null,#d3e0f2
Omega,Optimize scheduling and ops,Metric 5,55,null,null,#6691d2
Omega,Northeast,Metric 5,69,null,null,#a8c1e5
Omega,South,Metric 5,4,null,null,#a8c1e5
Omega,West,Metric 5,79,null,null,#6691d2
Zulu,Atlantic,Metric 1,35,null,null,#6691d2
Zulu,Optimize scheduling and ops,Metric 1,161,null,null,#d3e0f2
Zulu,Northeast,Metric 1,97,null,null,#a8c1e5
Zulu,South,Metric 1,171,null,null,#a8c1e5
Zulu,West,Metric 1,140,null,null,#2563bf
Zulu,Atlantic,Metric 2,193,null,null,#a8c1e5
Zulu,Optimize scheduling and ops,Metric 2,38,null,null,#2563bf
Zulu,Northeast,Metric 2,187,null,null,#6691d2
Zulu,South,Metric 2,172,null,null,#6691d2
Zulu,West,Metric 2,12,null,null,#2563bf
Zulu,Atlantic,Metric 3,43,null,null,#d3e0f2
Zulu,Optimize scheduling and ops,Metric 3,117,null,null,#2563bf
Zulu,Northeast,Metric 3,62,null,null,#d3e0f2
Zulu,South,Metric 3,86,null,null,#6691d2
Zulu,West,Metric 3,199,null,null,#a8c1e5
Zulu,Atlantic,Metric 4,85,null,null,#6691d2
Zulu,Optimize scheduling and ops,Metric 4,58,null,null,#d3e0f2
Zulu,Northeast,Metric 4,139,null,null,#a8c1e5
Zulu,South,Metric 4,74,null,null,#6691d2
Zulu,West,Metric 4,177,null,null,#6691d2
Zulu,Atlantic,Metric 5,194,null,null,#a8c1e5
Zulu,Optimize scheduling and ops,Metric 5,91,null,null,#d3e0f2
Zulu,Northeast,Metric 5,70,null,null,#2563bf
Zulu,South,Metric 5,42,null,null,#d3e0f2
